0,4396
1,4396
2,4396
3,4396
4,4396
5,4396
6,4396
7,4396
8,4396
9,4396
10,4396
11,4396
12,4396
13,4396
14,4396
15,4396
16,4396
17,4396
18,4396
19,4396
20,4396
21,4396
22,4396
23,4396
24,4396
25,4396
26,4396
27,4396
28,4396
29,4396
30,4396
31,4396
32,4396
33,4396
34,4396
35,4396
36,4396
37,4396
38,4396
39,4396
40,4396
41,4396
42,4396
43,4396
44,4396
45,4396
46,4396
47,4396
48,4396
49,4396
50,4396
51,4396
52,4396
53,4396
54,4396
55,4396
56,4396
57,4396
58,4396
59,4396
60,4396
61,4396
62,4396
63,4396
64,4396
65,4396
66,4396
67,4396
68,4396
69,4396
70,4396
71,4396
